	Number	lat	long	country
Uppsala University	5	59.85090049999999	17.6300093	Sweden
Fisk University	1	36.1672456	-86.8036353	United States
Sociology At Mcgill University	1	45.50478469999999	-73.5771511	Canada
University of Wisconsinoshkosh	1	37.09024	-95.712891	United States
University of Paris 8 Vincennessaintdenis	1	48.9449361	2.3635622	France
University of British Columbia And Ac Ace	1	49.2348977	-123.1619616	Canada
Northwood University	1	43.6301146	-84.2744061	United States
Texas Christian University	3	32.70953	-97.36279499999999	United States
University Liverpool	5	53.405936	-2.9655722	United Kingdom
University of Hanover	2	52.3829641	9.7196989	Germany
Teesside University	1	54.5706735	-1.2352742	United Kingdom
University Philippines Visayas	1	10.64204	122.230829	Philippines
Tufts University	6	42.4074843	-71.1190232	United States
Delft University of Technology	3	51.99625589999999	4.3758659	Netherlands
University New S Wales	2	51.5894816	-3.3275381	United Kingdom
University Leeds	8	53.8066815	-1.5550328	United Kingdom
Swansea University	9	51.6106075	-3.9763939	United Kingdom
University Oxford St Peters Coll	1	51.7527567	-1.2606369	United Kingdom
